iter	Passed	Remaining
0	174	174137
1	176	87861
2	177	58945
3	178	44453
4	179	35764
5	180	29971
6	182	25829
7	183	22720
8	184	20302
9	185	18368
10	186	16793
11	188	15479
12	190	14445
13	191	13489
14	192	12654
15	193	11920
16	195	11276
17	196	10702
18	197	10188
19	198	9725
20	199	9307
21	200	8928
22	202	8582
23	204	8331
24	206	8039
25	207	7765
26	208	7512
27	209	7276
28	210	7057
29	211	6854
30	213	6662
31	214	6480
32	215	6308
33	216	6145
34	217	5993
35	218	5857
36	220	5730
37	221	5596
38	221	5468
39	222	5346
40	223	5230
41	224	5121
42	225	5016
43	226	4915
44	227	4820
45	227	4728
46	228	4639
47	229	4555
48	230	4475
49	231	4397
50	232	4329
51	235	4286
52	235	4216
53	236	4149
54	237	4084
55	238	4022
56	239	3961
57	240	3902
58	241	3846
59	241	3791
60	242	3737
61	243	3685
62	244	3636
63	245	3587
64	246	3541
65	247	3499
66	250	3482
67	251	3444
68	252	3404
69	253	3363
70	254	3325
71	255	3286
72	255	3249
73	256	3212
74	257	3176
75	258	3142
76	259	3108
77	260	3075
78	261	3043
79	261	3012
80	264	2997
81	265	2967
82	265	2934
83	266	2905
84	267	2877
85	268	2850
86	269	2823
87	269	2797
88	270	2771
89	271	2746
90	272	2722
91	273	2698
92	274	2674
93	275	2651
94	275	2628
95	276	2607
96	279	2597
97	279	2576
98	280	2554
99	281	2534
100	282	2514
101	283	2494
102	284	2475
103	285	2456
104	285	2437
105	286	2418
106	287	2400
107	288	2382
108	289	2365
109	290	2347
110	291	2330
111	292	2317
112	293	2305
113	294	2289
114	295	2273
115	296	2257
116	296	2240
117	297	2225
118	298	2210
119	299	2195
120	300	2181
121	301	2166
122	301	2152
123	302	2138
124	303	2125
125	304	2111
126	305	2098
127	308	2100
128	310	2093
129	311	2083
130	312	2073
131	313	2061
132	314	2049
133	315	2037
134	316	2025
135	317	2014
136	317	2002
137	318	1991
138	319	1979
139	320	1968
140	321	1957
141	322	1950
142	323	1940
143	325	1932
144	326	1923
145	327	1912
146	327	1902
147	328	1892
148	329	1882
149	330	1872
150	331	1862
151	332	1854
152	333	1845
153	334	1835
154	335	1826
155	335	1817
156	337	1811
157	338	1804
158	339	1797
159	341	1790
160	341	1780
161	342	1772
162	343	1763
163	344	1754
164	345	1746
165	346	1738
166	346	1730
167	347	1722
168	348	1714
169	349	1706
170	351	1703
171	352	1696
172	353	1688
173	354	1680
174	354	1673
175	355	1665
176	356	1658
177	357	1650
178	358	1643
179	359	1636
180	360	1629
181	360	1621
182	361	1614
183	362	1607
184	363	1600
185	365	1599
186	366	1593
187	367	1586
188	368	1581
189	369	1574
190	370	1568
191	371	1561
192	371	1555
193	372	1548
194	373	1542
195	374	1536
196	375	1529
197	376	1523
198	377	1517
199	377	1511
200	378	1505
201	380	1503
202	381	1497
203	382	1492
204	383	1488
205	384	1483
206	386	1478
207	386	1473
208	387	1467
209	388	1461
210	389	1456
211	390	1450
212	391	1445
213	392	1439
214	392	1434
215	393	1429
216	395	1426
217	396	1422
218	397	1418
219	398	1414
220	400	1410
221	401	1405
222	402	1402
223	404	1400
224	405	1396
225	406	1392
226	407	1389
227	410	1389
228	411	1386
229	412	1382
230	414	1378
231	415	1375
232	416	1371
233	418	1368
234	419	1365
235	423	1369
236	430	1385
237	433	1387
238	434	1382
239	435	1379
240	436	1375
241	437	1371
242	439	1367
243	441	1369
244	443	1367
245	445	1363
246	446	1360
247	447	1357
248	448	1354
249	450	1350
250	451	1346
251	452	1342
252	453	1339
253	455	1337
254	458	1338
255	459	1335
256	460	1331
257	462	1328
258	463	1325
259	464	1322
260	465	1319
261	467	1315
262	468	1312
263	469	1309
264	471	1307
265	473	1305
266	474	1301
267	475	1297
268	476	1293
269	477	1290
270	478	1286
271	479	1282
272	480	1278
273	481	1275
274	482	1271
275	484	1269
276	486	1269
277	487	1265
278	488	1262
279	489	1259
280	490	1255
281	491	1252
282	493	1249
283	493	1245
284	495	1241
285	495	1238
286	496	1234
287	498	1232
288	500	1231
289	501	1228
290	503	1225
291	504	1222
292	505	1219
293	506	1216
294	507	1213
295	508	1210
296	509	1207
297	511	1204
298	512	1201
299	515	1202
300	516	1200
301	517	1196
302	518	1193
303	519	1190
304	520	1187
305	522	1184
306	523	1181
307	524	1178
308	525	1175
309	526	1172
310	527	1169
311	533	1175
312	534	1173
313	536	1171
314	537	1167
315	537	1164
316	538	1160
317	539	1157
318	540	1153
319	541	1150
320	542	1147
321	544	1146
322	545	1144
323	546	1140
324	547	1137
325	548	1133
326	549	1130
327	550	1127
328	551	1124
329	552	1120
330	552	1117
331	553	1114
332	554	1110
333	555	1107
334	556	1104
335	557	1101
336	558	1099
337	560	1097
338	561	1094
339	562	1091
340	563	1088
341	563	1084
342	564	1081
343	565	1078
344	566	1075
345	567	1072
346	568	1068
347	568	1065
348	569	1062
349	570	1059
350	571	1056
351	572	1053
352	575	1053
353	575	1051
354	576	1048
355	577	1045
356	578	1042
357	579	1039
358	580	1036
359	581	1033
360	582	1031
361	583	1028
362	584	1025
363	585	1022
364	585	1019
365	586	1016
366	589	1016
367	590	1013
368	591	1010
369	591	1007
370	592	1005
371	593	1002
372	594	999
373	595	996
374	596	993
375	597	990
376	597	988
377	598	985
378	599	982
379	600	979
380	601	976
381	602	975
382	604	973
383	605	970
384	606	968
385	606	965
386	607	962
387	608	959
388	609	957
389	610	954
390	611	952
391	612	949
392	612	946
393	613	944
394	614	941
395	615	939
396	616	936
397	618	935
398	619	933
399	620	930
400	621	928
401	622	925
402	623	923
403	624	920
404	624	918
405	625	915
406	626	913
407	627	910
408	628	907
409	629	905
410	629	902
411	630	900
412	633	899
413	634	897
414	635	895
415	636	893
416	637	890
417	637	888
418	638	885
419	639	883
420	640	880
421	641	878
422	642	875
423	643	873
424	643	871
425	644	868
426	645	866
427	646	864
428	648	862
429	649	860
430	650	858
431	651	856
432	652	853
433	652	851
434	653	849
435	654	846
436	655	844
437	656	842
438	657	839
439	657	837
440	658	835
441	659	832
442	660	830
443	662	829
444	663	827
445	664	825
446	665	822
447	665	820
448	666	818
449	667	816
450	668	813
451	669	811
452	670	809
453	670	806
454	671	804
455	672	802
456	673	800
457	674	798
458	678	799
459	679	797
460	680	795
461	681	793
462	682	791
463	683	789
464	684	787
465	685	784
466	685	782
467	686	780
468	687	778
469	688	776
470	689	774
471	690	771
472	691	770
473	692	769
474	693	766
475	694	764
476	695	762
477	696	760
478	697	758
479	698	756
480	698	754
481	699	752
482	700	749
483	701	747
484	702	745
485	703	743
486	704	741
487	704	739
488	706	738
489	707	736
490	708	734
491	709	732
492	710	730
493	711	728
494	712	726
495	713	724
496	714	722
497	715	720
498	715	718
499	716	716
500	717	714
501	718	712
502	719	710
503	721	709
504	722	707
505	723	706
506	724	704
507	725	702
508	726	700
509	727	698
510	728	696
511	728	694
512	729	692
513	730	690
514	731	688
515	732	686
516	733	685
517	734	683
518	735	682
519	737	680
520	738	678
521	738	676
522	739	674
523	740	672
524	741	670
525	742	669
526	743	667
527	744	665
528	745	663
529	746	661
530	747	659
531	747	657
532	748	656
533	751	655
534	752	653
535	753	651
536	753	650
537	754	648
538	755	646
539	756	644
540	757	642
541	758	640
542	759	639
543	760	637
544	761	635
545	762	633
546	763	632
547	765	631
548	766	629
549	767	627
550	768	626
551	769	624
552	770	622
553	771	621
554	772	619
555	773	617
556	773	615
557	774	613
558	775	612
559	776	610
560	778	608
561	780	608
562	781	606
563	782	604
564	783	603
